run_id,world_half_cm,thickness_nm,density_g_cm3,E_keV,N_injected,N_uncollided,N_trans_total,T_counts,mu_counts_per_mm,mu_counts_cm2_g,mu_calc_per_mm,mu_calc_cm2_g,mu_tr_per_mm,mu_tr_cm2_g,mu_ref_cm2_g,mu_en_ref_cm2_g,delta_mu_percent,delta_mu_en_percent,sigma_T_counts,sigma_mu_counts_cm2_g,mu_en_cpe_per_mm,mu_en_cpe_cm2_g,delta_mu_en_cpe_percent,absorbed_fraction,mu_en_per_mm,mu_en_cm2_g,mu_en_raw_per_mm,mu_en_raw_cm2_g,mu_eff_per_mm,mu_eff_cm2_g,E_trans_unc_keV,E_trans_tot_keV,E_abs_keV,T_energy_tot
247,5.0000000000e+01,5.0000000000e+02,1.9300000000e+01,1.2410000000e+03,2.0000000000e+05,1.9999500000e+05,1.9999500000e+05,9.9997500000e-01,5.0000625011e-02,2.5907059591e-02,1.0781593459e-01,5.5863178544e-02,5.7684828097e-02,2.9888511967e-02,5.6144760000e-02,2.7795400000e-02,-5.3856674085e+01,-9.9990819784e+01,1.1180200132e-05,1.1585989269e-02,2.4753643482e-02,1.2825722011e-02,-5.3856674085e+01,2.4623690572e-09,2.4753643482e-02,1.2825722011e-02,4.9247381144e-06,2.5516777795e-06,4.9247381789e-06,2.5516778129e-06,2.4819379500e+08,2.4819379500e+08,6.1116000000e-01,9.9997500000e-01
248,5.0000000000e+01,5.0000000000e+02,1.9300000000e+01,1.5000000000e+03,2.0000000000e+05,1.9999000000e+05,1.9999000000e+05,9.9995000000e-01,1.0000250008e-01,5.1814766883e-02,9.6055822304e-02,4.9769856116e-02,5.1792972143e-02,2.6835736861e-02,5.0000000000e-02,2.4840000000e-02,3.6295337651e+00,-9.9988036595e+01,1.5810993011e-05,1.6385267980e-02,4.9681242041e-02,2.5741576187e-02,3.6295337651e+00,2.8677000000e-09,4.9681242041e-02,2.5741576187e-02,5.7354000000e-06,2.9717098446e-06,5.7353999410e-06,2.9717098140e-06,2.9998500000e+08,2.9998500000e+08,8.6031000000e-01,9.9995000000e-01
249,5.0000000000e+01,5.0000000000e+02,1.9300000000e+01,1.5800000000e+03,2.0000000000e+05,1.9998700000e+05,1.9998700000e+05,9.9993500000e-01,1.3000422518e-01,6.7359702167e-02,9.3725816708e-02,4.8562599330e-02,5.0715202121e-02,2.6277306799e-02,4.9092800000e-02,2.4475200000e-02,3.7208923034e+01,-9.9980768590e+01,1.8027170466e-05,1.8682220008e-02,6.4813565578e-02,3.3582158330e-02,3.7208923034e+01,4.5421835443e-09,6.4813565578e-02,3.3582158330e-02,9.0843670886e-06,4.7069259527e-06,9.0843670570e-06,4.7069259363e-06,3.1597946000e+08,3.1597946000e+08,1.4353300000e+00,9.9993500000e-01
250,5.0000000000e+01,5.0000000000e+02,1.9300000000e+01,1.5840000000e+03,2.0000000000e+05,1.9998900000e+05,1.9998900000e+05,9.9994500000e-01,1.1000302511e-01,5.6996386068e-02,9.3620171291e-02,4.8507860773e-02,5.0668069479e-02,2.6252885741e-02,4.9047440000e-02,2.4456960000e-02,1.6206648232e+01,-9.9826869463e+01,1.6582667910e-05,1.7185057002e-02,5.4851784008e-02,2.8420613476e-02,1.6206648232e+01,4.0860479798e-08,5.4851784008e-02,2.8420613476e-02,8.1720959596e-05,4.2342466112e-05,8.1720961225e-05,4.2342466956e-05,3.1678257600e+08,3.1678257600e+08,1.2944600000e+01,9.9994500000e-01
251,5.0000000000e+01,5.0000000000e+02,1.9300000000e+01,2.0000000000e+03,2.0000000000e+05,1.9999000000e+05,1.9999000000e+05,9.9995000000e-01,1.0000250008e-01,5.1814766883e-02,8.5184943595e-02,4.4137276474e-02,4.7505295904e-02,2.4614142955e-02,4.4330000000e-02,2.2560000000e-02,1.6884202307e+01,-9.9852282801e+01,1.5810993011e-05,1.6385267980e-02,5.0892316758e-02,2.6369076040e-02,1.6884202307e+01,3.2158625000e-08,5.0892316758e-02,2.6369076040e-02,6.4317250000e-05,3.3325000000e-05,6.4317251005e-05,3.3325000520e-05,3.9998000000e+08,3.9998000000e+08,1.2863450000e+01,9.9995000000e-01
252,5.0000000000e+01,5.0000000000e+02,1.9300000000e+01,2.5100000000e+03,2.0000000000e+05,1.9999300000e+05,1.9999300000e+05,9.9996500000e-01,7.0001225029e-02,3.6270064782e-02,8.0303979074e-02,4.1608279313e-02,4.7025779082e-02,2.4365688643e-02,4.2504200000e-02,2.2458000000e-02,-1.4667104000e+01,-9.9991511701e+01,1.3228525050e-05,1.3708795922e-02,3.6986639243e-02,1.9164061784e-02,-1.4667104000e+01,1.8395816733e-09,3.6986639243e-02,1.9164061784e-02,3.6791633466e-06,1.9063022521e-06,3.6791634218e-06,1.9063022911e-06,5.0198243000e+08,5.0198243000e+08,9.2347000000e-01,9.9996500000e-01
253,5.0000000000e+01,5.0000000000e+02,1.9300000000e+01,3.1600000000e+03,2.0000000000e+05,1.9999100000e+05,1.9999100000e+05,9.9995500000e-01,9.0002025061e-02,4.6633173607e-02,7.7986596268e-02,4.0407562833e-02,4.8672102596e-02,2.5218706008e-02,4.0690800000e-02,2.2563200000e-02,1.4603727640e+01,-9.9996808844e+01,1.4999662496e-05,1.5544391204e-02,4.9906457771e-02,2.5858268275e-02,1.4603727640e+01,6.9482594937e-10,4.9906457771e-02,2.5858268275e-02,1.3896518987e-06,7.2002689054e-07,1.3896519496e-06,7.2002691687e-07,6.3197156000e+08,6.3197156000e+08,4.3913000000e-01,9.9995500000e-01
254,5.0000000000e+01,5.0000000000e+02,1.9300000000e+01,3.9800000000e+03,2.0000000000e+05,1.9999300000e+05,1.9999300000e+05,9.9996500000e-01,7.0001225029e-02,3.6270064782e-02,7.7832761760e-02,4.0327855834e-02,5.2100927130e-02,2.6995299031e-02,4.0387400000e-02,2.3604600000e-02,-1.0194603313e+01,-9.9929724494e+01,1.3228525050e-05,1.3708795922e-02,4.0912535006e-02,2.1198204666e-02,-1.0194603313e+01,1.6007663317e-08,4.0912535006e-02,2.1198204666e-02,3.2015326633e-05,1.6588252142e-05,3.2015326868e-05,1.6588252263e-05,7.9597214000e+08,7.9597214000e+08,1.2742100000e+01,9.9996500000e-01
255,5.0000000000e+01,5.0000000000e+02,1.9300000000e+01,5.0000000000e+03,2.0000000000e+05,1.9999400000e+05,1.9999400000e+05,9.9997000000e-01,6.0000900018e-02,3.1088549232e-02,7.9447920973e-02,4.1164725893e-02,5.6933523889e-02,2.9499235176e-02,4.1030000000e-02,2.5100000000e-02,-2.4229711840e+01,-9.9998657432e+01,1.2247265001e-05,1.2691847077e-02,3.6705400693e-02,1.9018342328e-02,-2.4229711840e+01,3.2519000000e-10,3.6705400693e-02,1.9018342328e-02,6.5038000000e-07,3.3698445596e-07,6.5037997221e-07,3.3698444156e-07,9.9997000000e+08,9.9997000000e+08,3.2519000000e-01,9.9997000000e-01
256,5.0000000000e+01,5.0000000000e+02,1.9300000000e+01,6.3100000000e+03,2.0000000000e+05,1.9999000000e+05,1.9999000000e+05,9.9995000000e-01,1.0000250008e-01,5.1814766883e-02,8.2609878808e-02,4.2803046015e-02,6.3068752227e-02,3.2678109962e-02,4.2506100000e-02,2.6857350000e-02,2.1899602369e+01,-9.9999184840e+01,1.5810993011e-05,1.6385267980e-02,6.3186275514e-02,3.2739002857e-02,2.1899602369e+01,2.1126782884e-10,6.3186275514e-02,3.2739002857e-02,4.2253565768e-07,2.1893039258e-07,4.2253556214e-07,2.1893034308e-07,1.2619369000e+09,1.2619369000e+09,2.6662000000e-01,9.9995000000e-01
257,5.0000000000e+01,5.0000000000e+02,1.9300000000e+01,7.0000000000e+03,2.0000000000e+05,1.9999500000e+05,1.9999500000e+05,9.9997500000e-01,5.0000625011e-02,2.5907059591e-02,8.4383418574e-02,4.3721978536e-02,6.6092861088e-02,3.4245005745e-02,4.3410000000e-02,2.7675000000e-02,-4.0320065444e+01,-9.9999877905e+01,1.1180200132e-05,1.1585989269e-02,3.1876694245e-02,1.6516421888e-02,-4.0320065444e+01,3.2607142857e-11,3.1876694245e-02,1.6516421888e-02,6.5214285714e-08,3.3789785344e-08,6.5214278423e-08,3.3789781566e-08,1.3999650000e+09,1.3999650000e+09,4.5650000000e-02,9.9997500000e-01
258,5.0000000000e+01,5.0000000000e+02,1.9300000000e+01,1.0000000000e+04,2.0000000000e+05,1.9999400000e+05,1.9999400000e+05,9.9997000000e-01,6.0000900018e-02,3.1088549232e-02,9.2380330378e-02,4.7865456154e-02,7.7864460548e-02,4.0344280077e-02,4.7470000000e-02,3.0720000000e-02,-3.4509059970e+01,-1.0000000000e+02,1.2247265001e-05,1.2691847077e-02,3.8829316380e-02,2.0118816777e-02,-3.4509059970e+01,0.0000000000e+00,3.8829316380e-02,2.0118816777e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.9999400000e+09,1.9999400000e+09,0.0000000000e+00,9.9997000000e-01
259,5.0000000000e+01,5.0000000000e+02,1.9300000000e+01,1.5800000000e+04,2.0000000000e+05,1.9999400000e+05,1.9999400000e+05,9.9997000000e-01,6.0000900018e-02,3.1088549232e-02,1.0533477602e-01,5.4577604158e-02,9.4764764078e-02,4.9100914030e-02,5.4654400000e-02,3.3784000000e-02,-4.3117938845e+01,-9.9999955727e+01,1.2247265001e-05,1.2691847077e-02,3.7088878594e-02,1.9217035541e-02,-4.3117938845e+01,1.4433544304e-11,3.7088878594e-02,1.9217035541e-02,2.8867088608e-08,1.4957040729e-08,2.8867130908e-08,1.4957062647e-08,3.1599052000e+09,3.1599052000e+09,4.5610000000e-02,9.9997000000e-01
260,5.0000000000e+01,5.0000000000e+02,1.9300000000e+01,2.5100000000e+04,2.0000000000e+05,1.9998700000e+05,1.9998700000e+05,9.9993500000e-01,1.3000422518e-01,6.7359702167e-02,1.2035178545e-01,6.2358438058e-02,1.1283163126e-01,5.8461985109e-02,5.8930000000e-02,3.4750000000e-02,1.4304602354e+01,-1.0000000000e+02,1.8027170466e-05,1.8682220008e-02,7.6661239184e-02,3.9720849318e-02,1.4304602354e+01,0.0000000000e+00,7.6661239184e-02,3.9720849318e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0196737000e+09,5.0196737000e+09,0.0000000000e+00,9.9993500000e-01
261,5.0000000000e+01,5.0000000000e+02,1.9300000000e+01,3.9800000000e+04,2.0000000000e+05,1.9998700000e+05,1.9998700000e+05,9.9993500000e-01,1.3000422518e-01,6.7359702167e-02,1.3603589103e-01,7.0484917633e-02,1.3076794088e-01,6.7755409784e-02,5.8930000000e-02,3.4750000000e-02,1.4304602354e+01,-1.0000000000e+02,1.8027170466e-05,1.8682220008e-02,7.6661239184e-02,3.9720849318e-02,1.4304602354e+01,0.0000000000e+00,7.6661239184e-02,3.9720849318e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,7.9594826000e+09,7.9594826000e+09,0.0000000000e+00,9.9993500000e-01
262,5.0000000000e+01,5.0000000000e+02,1.9300000000e+01,6.3100000000e+04,2.0000000000e+05,1.9999000000e+05,1.9999000000e+05,9.9995000000e-01,1.0000250008e-01,5.1814766883e-02,1.5148879495e-01,7.8491603599e-02,1.4784861934e-01,7.6605502249e-02,5.8930000000e-02,3.4750000000e-02,-1.2074042283e+01,-1.0000000000e+02,1.5810993011e-05,1.6385267980e-02,5.8969741692e-02,3.0554270307e-02,-1.2074042283e+01,0.0000000000e+00,5.8969741692e-02,3.0554270307e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.2619369000e+10,1.2619369000e+10,0.0000000000e+00,9.9995000000e-01
263,5.0000000000e+01,5.0000000000e+02,1.9300000000e+01,1.0000000000e+05,2.0000000000e+05,1.9998400000e+05,1.9998400000e+05,9.9992000000e-01,1.6000640034e-01,8.2904870643e-02,1.6599789727e-01,8.6009273197e-02,1.6350017465e-01,8.4715116400e-02,5.8930000000e-02,3.4750000000e-02,4.0683642700e+01,-1.0000000000e+02,1.9999199984e-05,2.0726217666e-02,9.4353002068e-02,4.8887565838e-02,4.0683642700e+01,0.0000000000e+00,9.4353002068e-02,4.8887565838e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.9998400000e+10,1.9998400000e+10,0.0000000000e+00,9.9992000000e-01
264,5.0000000000e+01,1.0000000000e+03,1.9300000000e+01,1.0000000000e+00,2.0000000000e+05,1.3400000000e+02,1.3400000000e+02,6.7000000000e-04,7.3082328456e+03,3.7866491428e+03,7.0955433749e+03,3.6764473445e+03,7.0863645094e+03,3.6716914557e+03,3.6830000000e+03,3.6710000000e+03,2.8142585609e+00,-9.8805642350e+01,5.7859791738e-05,4.4745024931e+01,7.2844210633e+03,3.7743114318e+03,2.8142585609e+00,8.4620597800e-02,7.2844210633e+03,3.7743114318e+03,8.4620597800e+01,4.3844869326e+01,8.8416652436e+01,4.5811737013e+01,1.3400000000e+02,1.3400000000e+02,1.6924119560e+04,6.7000000000e-04
265,5.0000000000e+01,1.0000000000e+03,1.9300000000e+01,1.5800000000e+00,2.0000000000e+05,1.1637000000e+04,1.1637000000e+04,5.8185000000e-02,2.8441276894e+03,1.4736412899e+03,2.8326316048e+03,1.4676847693e+03,2.8263604092e+03,1.4644354452e+03,1.5045782665e+03,1.4935782665e+03,-2.0561892549e+00,-9.7942403111e+01,5.2344773271e-04,4.6612776801e+00,2.8233342184e+03,1.4628674707e+03,-2.0561892549e+00,5.9312412500e-02,2.8233342184e+03,1.4628674707e+03,5.9312412500e+01,3.0731819948e+01,6.1144195053e+01,3.1680930079e+01,1.8386460000e+04,1.8386460000e+04,1.8742722350e+04,5.8185000000e-02
266,5.0000000000e+01,1.0000000000e+03,1.9300000000e+01,2.5100000000e+00,2.0000000000e+05,1.2870000000e+03,1.2870000000e+03,6.4350000000e-03,5.0460034379e+03,2.6145095533e+03,5.0406479956e+03,2.6117347127e+03,5.0258994005e+03,2.6040929536e+03,2.6113223250e+03,2.5694643329e+03,1.2205419081e-01,-9.7952949193e+01,1.7879584412e-04,1.4396322260e+01,4.9651189106e+03,2.5726004718e+03,1.2205419081e-01,1.0151460390e-01,4.9651189106e+03,2.5726004718e+03,1.0151460390e+02,5.2598240365e+01,1.0704482654e+02,5.5463640695e+01,3.2303700000e+03,3.2303700000e+03,5.0960331160e+04,6.4350000000e-03
267,5.0000000000e+01,1.0000000000e+03,1.9300000000e+01,3.9800000000e+00,2.0000000000e+05,3.0913000000e+04,3.0913000000e+04,1.5456500000e-01,1.8671405591e+03,9.6743034153e+02,1.8691109663e+03,9.6845127790e+02,1.8537628259e+03,9.6049887354e+02,9.7531200001e+02,9.5915000001e+02,-8.0811663175e-01,-9.6390771346e+01,8.0831510185e-04,2.7096439359e+00,1.8361999722e+03,9.5139894934e+02,-8.0811663175e-01,6.6812579108e-02,1.8361999722e+03,9.5139894934e+02,6.6812579108e+01,3.4617916636e+01,6.9149218467e+01,3.5828610605e+01,1.2303374000e+05,1.2303374000e+05,5.3182812970e+04,1.5456500000e-01
268,5.0000000000e+01,1.0000000000e+03,1.9300000000e+01,6.3100000000e+00,2.0000000000e+05,1.1018900000e+05,1.1018900000e+05,5.5094500000e-01,5.9612029332e+02,3.0887061830e+02,5.9658958724e+02,3.0911377577e+02,5.8539839684e+02,3.0331523152e+02,3.2336050000e+02,3.1513250000e+02,-4.4810302120e+00,-9.5930864021e+01,1.1122153725e-03,1.0459798983e+00,5.8095184271e+02,3.0101131747e+02,-4.4810302120e+00,2.4748717979e-02,5.8095184271e+02,3.0101131747e+02,2.4748717979e+01,1.2823169938e+01,2.5060116040e+01,1.2984516083e+01,6.9529259000e+05,6.9529259000e+05,3.1232882090e+04,5.5094500000e-01
269,5.0000000000e+01,1.0000000000e+03,1.9300000000e+01,1.0000000000e+01,2.0000000000e+05,1.6624300000e+05,1.6624300000e+05,8.3121500000e-01,1.8486679316e+02,9.5785903193e+01,1.8357779636e+02,9.5118029200e+01,1.7836413962e+02,9.2416652655e+01,9.6910000000e+01,9.2040000000e+01,-1.1599389204e+00,-9.6438941221e+01,8.3754589061e-04,5.2208105166e-01,1.7557671698e+02,9.0972392218e+01,-1.1599389204e+00,6.3257651050e-03,1.7557671698e+02,9.0972392218e+01,6.3257651050e+00,3.2775985000e+00,6.3458575352e+00,3.2880090856e+00,1.6624300000e+06,1.6624300000e+06,1.2651530210e+04,8.3121500000e-01
270,5.0000000000e+01,1.0000000000e+03,1.9300000000e+01,1.5800000000e+01,2.0000000000e+05,1.5846300000e+05,1.5846300000e+05,7.9231500000e-01,2.3279623897e+02,1.2061981294e+02,2.3355054405e+02,1.2101064459e+02,2.2811332547e+02,1.1819343288e+02,1.2719280000e+02,1.0756320000e+02,-5.1677351731e+00,-9.0261753844e+01,9.0706102544e-04,5.9317292482e-01,1.9686891405e+02,1.0200461868e+02,-5.1677351731e+00,2.0216304535e-02,1.9686891405e+02,1.0200461868e+02,2.0216304535e+01,1.0474769189e+01,2.0423450593e+01,1.0582098753e+01,2.5037154000e+06,2.5037154000e+06,6.3883522330e+04,7.9231500000e-01
271,5.0000000000e+01,1.0000000000e+03,1.9300000000e+01,2.0000000000e+01,2.0000000000e+05,1.7632700000e+05,1.7632700000e+05,8.8163500000e-01,1.2597714083e+02,6.5273129962e+01,1.2699347677e+02,6.5799728899e+01,1.2276597332e+02,6.3609312599e+01,6.5730000000e+01,5.6970000000e+01,-6.9507080181e-01,-9.0826830054e+01,7.2233900204e-04,4.2451684992e-01,1.0918785506e+02,5.6574018164e+01,-6.9507080181e-01,1.0086092993e-02,1.0918785506e+02,5.6574018164e+01,1.0086092993e+01,5.2259549184e+00,1.0137302254e+01,5.2524882143e+00,3.5265400000e+06,3.5265400000e+06,4.0344371970e+04,8.8163500000e-01
272,5.0000000000e+01,1.0000000000e+03,1.9300000000e+01,2.5100000000e+01,2.0000000000e+05,1.8664500000e+05,1.8664500000e+05,9.3322500000e-01,6.9108949652e+01,3.5807745934e+01,7.0147470205e+01,3.6345839484e+01,6.6962167888e+01,3.4695423776e+01,4.3800000000e+01,3.8069400000e+01,-1.8247155403e+01,-9.3028233759e+01,5.5819395991e-04,3.0991418827e-01,6.0067037623e+01,3.1122817421e+01,-1.8247155403e+01,5.1224314841e-03,6.0067037623e+01,3.1122817421e+01,5.1224314841e+00,2.6541095772e+00,5.1355961121e+00,2.6609306280e+00,4.6847895000e+06,4.6847895000e+06,2.5714606050e+04,9.3322500000e-01
273,5.0000000000e+01,1.0000000000e+03,1.9300000000e+01,2.5500000000e+01,2.0000000000e+05,1.8695000000e+05,1.8695000000e+05,9.3475000000e-01,6.7476165125e+01,3.4961743588e+01,6.7299410957e+01,3.4870161118e+01,6.4178602450e+01,3.3253161891e+01,4.2080000000e+01,3.6587000000e+01,-1.6916008583e+01,-9.3168573976e+01,5.5223381597e-04,3.0610485249e-01,5.8668024083e+01,3.0397939940e+01,-1.6916008583e+01,4.8238687098e-03,5.8668024083e+01,3.0397939940e+01,4.8238687098e+00,2.4994138393e+00,4.8355411170e+00,2.5054617187e+00,4.7672250000e+06,4.7672250000e+06,2.4601730420e+04,9.3475000000e-01
274,5.0000000000e+01,1.0000000000e+03,1.9300000000e+01,3.0000000000e+01,2.0000000000e+05,1.9148100000e+05,1.9148100000e+05,9.5740500000e-01,4.3528779560e+01,2.2553771793e+01,4.3875966609e+01,2.2733661455e+01,4.1375390495e+01,2.1438026163e+01,2.2730000000e+01,1.9910000000e+01,-7.7531107538e-01,-9.2513393956e+01,4.5155656332e-04,2.4437634152e-01,3.8128376640e+01,1.9755635565e+01,-7.7531107538e-01,2.8768256983e-03,3.8128376640e+01,1.9755635565e+01,2.8768256983e+00,1.4905832634e+00,2.8809717149e+00,1.4927314585e+00,5.7444300000e+06,5.7444300000e+06,1.7260954190e+04,9.5740500000e-01
275,5.0000000000e+01,1.0000000000e+03,1.9300000000e+01,3.2400000000e+01,2.0000000000e+05,1.9307100000e+05,1.9307100000e+05,9.6535500000e-01,3.5259369645e+01,1.8269103443e+01,3.5805271581e+01,1.8551954187e+01,3.3562074496e+01,1.7389675905e+01,1.9835600000e+01,1.7349200000e+01,-7.8973994075e+00,-9.3265044710e+01,4.0892984713e-04,2.1948480073e-01,3.0839594257e+01,1.5979064382e+01,-7.8973994075e+00,2.2551294660e-03,3.0839594257e+01,1.5979064382e+01,2.2551294660e+00,1.1684608632e+00,2.2576760999e+00,1.1697803626e+00,6.2555004000e+06,6.2555004000e+06,1.4613238940e+04,9.6535500000e-01
276,5.0000000000e+01,1.0000000000e+03,1.9300000000e+01,3.9800000000e+01,2.0000000000e+05,1.9579300000e+05,1.9579300000e+05,9.7896500000e-01,2.1259387857e+01,1.1015226869e+01,2.0802235130e+01,1.0778360171e+01,1.9143222562e+01,9.9187681670e+00,1.0911200000e+01,9.4534000002e+00,9.5339530528e-01,-9.3431698163e+01,3.2087792675e-04,1.6983037507e-01,1.8419009565e+01,9.5435282720e+00,9.5339530528e-01,1.1983907425e-03,1.8419009565e+01,9.5435282720e+00,1.1983907425e+00,6.2092784584e-01,1.1991093869e+00,6.2130020044e-01,7.7925614000e+06,7.7925614000e+06,9.5391903100e+03,9.7896500000e-01
277,5.0000000000e+01,1.0000000000e+03,1.9300000000e+01,4.0000000000e+01,2.0000000000e+05,1.9584500000e+05,1.9584500000e+05,9.7922500000e-01,2.0993836504e+01,1.0877635494e+01,2.0527789298e+01,1.0636160258e+01,1.8881281827e+01,9.7830475789e+00,1.0670000000e+01,9.2400000000e+00,1.9459746427e+00,-9.3342849909e+01,3.1893102213e-04,1.6875512192e-01,1.8180229550e+01,9.4198080570e+00,1.9459746427e+00,1.1871828900e-03,1.8180229550e+01,9.4198080570e+00,1.1871828900e+00,6.1512066839e-01,1.1878881498e+00,6.1548608800e-01,7.8338000000e+06,7.8338000000e+06,9.4974631200e+03,9.7922500000e-01
278,5.0000000000e+01,1.0000000000e+03,1.9300000000e+01,4.1400000000e+01,2.0000000000e+05,1.9626500000e+05,1.9626500000e+05,9.8132500000e-01,1.8851579685e+01,9.7676578681e+00,1.8737005177e+01,9.7082928380e+00,1.7175423580e+01,8.8991832023e+00,1.0009060000e+01,8.6534000000e+00,-2.4118361955e+00,-9.4012814527e+01,3.0270649460e-04,1.5982752230e-01,1.6298259742e+01,8.4446941666e+00,-2.4118361955e+00,9.9992355797e-04,1.6298259742e+01,8.4446941666e+00,9.9992355797e-01,5.1809510776e-01,1.0004238150e+00,5.1835430831e-01,8.1253710000e+06,8.1253710000e+06,8.2793670600e+03,9.8132500000e-01
279,5.0000000000e+01,1.0000000000e+03,1.9300000000e+01,5.0000000000e+01,2.0000000000e+05,1.9768300000e+05,1.9768300000e+05,9.8841500000e-01,1.1652628941e+01,6.0376315755e+00,1.1376674087e+01,5.8946497862e+00,1.0214979915e+01,5.2927357071e+00,5.9490000000e+00,5.0500000000e+00,1.4898567071e+00,-9.4375427579e+01,2.3927795317e-04,1.2543133611e-01,9.8917088840e+00,5.1252377637e+00,1.4898567071e+00,5.4819895100e-04,9.8917088840e+00,5.1252377637e+00,5.4819895100e-01,2.8404090725e-01,5.4834926698e-01,2.8411879118e-01,9.8841500000e+06,9.8841500000e+06,5.4819895100e+03,9.8841500000e-01
280,5.0000000000e+01,1.0000000000e+03,1.9300000000e+01,5.2800000000e+01,2.0000000000e+05,1.9800700000e+05,1.9800700000e+05,9.9003500000e-01,1.0014982943e+01,5.1891103332e+00,9.8552117048e+00,5.1063273082e+00,8.7891865366e+00,4.5539826614e+00,5.3229200000e+00,4.4956000000e+00,-2.5138395242e+00,-9.4523116535e+01,2.2210018882e-04,1.1623611089e-01,8.4583945126e+00,4.3825878303e+00,-2.5138395242e+00,4.7520223201e-04,8.4583945126e+00,4.3825878303e+00,4.7520223201e-01,2.4621877306e-01,4.7531517637e-01,2.4627729346e-01,1.0454769600e+07,1.0454769600e+07,5.0181355700e+03,9.9003500000e-01
281,5.0000000000e+01,1.0000000000e+03,1.9300000000e+01,6.0000000000e+01,2.0000000000e+05,1.9863000000e+05,1.9863000000e+05,9.9315000000e-01,6.8735689432e+00,3.5614346856e+00,7.0283824513e+00,3.6416489385e+00,6.1721593481e+00,3.1980100249e+00,3.7130000000e+00,3.0700000000e+00,-4.0820176253e+00,-9.5356699170e+01,1.8443260964e-04,9.6220044947e-02,5.6832363737e+00,2.9446820589e+00,-4.0820176253e+00,2.7512021750e-04,5.6832363737e+00,2.9446820589e+00,2.7512021750e-01,1.4254933549e-01,2.7515807001e-01,1.4256894819e-01,1.1917800000e+07,1.1917800000e+07,3.3014426100e+03,9.9315000000e-01
282,5.0000000000e+01,1.0000000000e+03,1.9300000000e+01,6.3100000000e+01,2.0000000000e+05,1.9881400000e+05,1.9881400000e+05,9.9407000000e-01,5.9476522699e+00,3.0816851139e+00,6.1485383923e+00,3.1857711877e+00,5.3683965092e+00,2.7815525954e+00,3.3351417323e+00,2.7377060368e+00,-7.5995756314e+00,-9.5767057326e+01,1.7168044589e-04,8.9484240451e-02,4.8822283521e+00,2.5296519959e+00,-7.5995756314e+00,2.2365906735e-04,4.8822283521e+00,2.5296519959e+00,2.2365906735e-01,1.1588552713e-01,2.2368408277e-01,1.1589848848e-01,1.2545163400e+07,1.2545163400e+07,2.8225774300e+03,9.9407000000e-01
283,5.0000000000e+01,1.0000000000e+03,1.9300000000e+01,6.5000000000e+01,2.0000000000e+05,1.9887900000e+05,1.9887900000e+05,9.9439500000e-01,5.6207669560e+00,2.9123144850e+00,5.6658371387e+00,2.9356669112e+00,4.9458506987e+00,2.5626169423e+00,3.1035511811e+00,2.5340419947e+00,-6.1618670027e+00,-9.5499799029e+01,1.6693687392e-04,8.6983331168e-02,4.5893425557e+00,2.3778976972e+00,-6.1618670027e+00,2.2009137615e-04,4.5893425557e+00,2.3778976972e+00,2.2009137615e-01,1.1403698246e-01,2.2011559981e-01,1.1404953358e-01,1.2927135000e+07,1.2927135000e+07,2.8611878900e+03,9.9439500000e-01
284,5.0000000000e+01,1.0000000000e+03,1.9300000000e+01,6.7200000000e+01,2.0000000000e+05,1.9896300000e+05,1.9896300000e+05,9.9481500000e-01,5.1984887588e+00,2.6935174916e+00,5.1689759027e+00,2.6782258563e+00,4.5124954464e+00,2.3380805422e+00,2.8353937008e+00,2.2982204724e+00,-5.0037569431e+00,-9.5834409484e+01,1.6059445468e-04,8.3643252275e-02,4.2136205946e+00,2.1832231060e+00,-5.0037569431e+00,1.8476749628e-04,4.2136205946e+00,2.1832231060e+00,1.8476749628e-01,9.5734454031e-02,1.8478456790e-01,9.5743299428e-02,1.3370313600e+07,1.3370313600e+07,2.4832751500e+03,9.9481500000e-01
285,5.0000000000e+01,1.0000000000e+03,1.9300000000e+01,6.8000000000e+01,2.0000000000e+05,1.9898600000e+05,1.9898600000e+05,9.9493000000e-01,5.0828960571e+00,2.6336249001e+00,4.9984736166e+00,2.5898827029e+00,4.3672029303e+00,2.2627994458e+00,2.7378818898e+00,2.2124671916e+00,-3.8079432901e+00,-9.5274286096e+01,1.5881270573e-04,8.2705693892e-02,4.1074601526e+00,2.1282176957e+00,-3.8079432901e+00,2.0179089853e-04,4.1074601526e+00,2.1282176957e+00,2.0179089853e-01,1.0455486970e-01,2.0181126105e-01,1.0456542023e-01,1.3531048000e+07,1.3531048000e+07,2.7443562200e+03,9.9493000000e-01
